Latitude (decimal degrees):	-23.553
Longitude (decimal degrees):	-46.553
Elevation (m):	780
Radiation database:	PVGIS-SARAH3


Slope: 25 deg. (optimum)
Azimuth: -169 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,0.0,20.33,1.72,0.0
20230101:0103,0.0,0.0,0.0,20.17,1.52,0.0
20230101:0203,0.0,0.0,0.0,19.73,1.17,0.0
20230101:0303,0.0,0.0,0.0,18.95,1.03,0.0
20230101:0403,0.0,0.0,0.0,18.65,0.97,0.0
20230101:0503,0.0,0.0,0.0,19.26,0.55,0.0
20230101:0603,0.0,0.0,0.0,18.98,0.28,0.0
20230101:0703,0.0,0.0,0.0,19.18,0.69,0.0
20230101:0803,0.0,0.0,0.0,19.13,0.62,0.0
20230101:0903,232.2,53.18,7.67,18.7,0.62,0.0
20230101:1003,1787.2,260.02,20.64,20.24,0.28,0.0
20230101:1103,3442.6,459.9,33.94,21.59,0.83,0.0
20230101:1203,4680.7,632.36,47.44,22.41,1.1,0.0
20230101:1303,6151.2,870.78,61.08,23.44,0.97,0.0
20230101:1403,6139.1,891.89,74.8,24.96,0.55,0.0
20230101:1503,5557.7,802.53,88.48,25.23,0.21,0.0
20230101:1603,5753.8,802.23,77.63,24.35,1.72,0.0
20230101:1703,1213.6,168.33,63.9,23.38,2.55,0.0
20230101:1803,4367.7,582.87,50.23,23.71,2.48,0.0
20230101:1903,2561.4,342.22,36.7,23.61,2.21,0.0
20230101:2003,1417.2,205.31,23.35,22.42,1.86,0.0
20230101:2103,129.5,28.88,10.31,22.48,2.21,0.0
20230101:2203,0.0,0.0,0.0,21.76,2.07,0.0
20230101:2303,0.0,0.0,0.0,21.03,1.72,0.0
20230102:0003,0.0,0.0,0.0,20.66,1.52,0.0
20230102:0103,0.0,0.0,0.0,20.34,1.52,0.0
20230102:0203,0.0,0.0,0.0,19.82,1.45,0.0
20230102:0303,0.0,0.0,0.0,19.4,1.24,0.0
20230102:0403,0.0,0.0,0.0,18.79,1.38,0.0
20230102:0503,0.0,0.0,0.0,18.29,1.31,0.0
20230102:0603,0.0,0.0,0.0,18.01,1.31,0.0
20230102:0703,0.0,0.0,0.0,18.08,1.45,0.0
20230102:0803,0.0,0.0,0.0,18.03,1.38,0.0
20230102:0903,254.4,53.36,7.54,18.33,1.1,0.0
20230102:1003,1823.8,268.11,20.52,20.88,1.03,0.0
20230102:1103,3694.5,493.35,33.82,22.43,1.66,0.0
20230102:1203,5266.2,714.28,47.32,23.91,2.0,0.0
20230102:1303,6202.9,867.12,60.97,25.52,2.21,0.0
20230102:1403,6125.8,872.87,74.69,26.72,1.79,0.0
20230102:1503,6042.8,864.35,88.36,26.96,1.66,0.0
20230102:1603,5802.8,831.87,77.72,26.45,1.03,0.0
20230102:1703,3190.9,434.34,63.99,25.49,0.48,0.0
20230102:1803,1052.2,150.05,50.32,25.23,1.03,0.0
20230102:1903,420.8,69.26,36.78,25.01,2.14,0.0
20230102:2003,1412.9,207.72,23.43,24.63,2.41,0.0
